,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
2500,Rockcliffe Care Community - Scarborough - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-11-28,2022-12-07,Inactive,-79.2468577,43.7550969
2501,Shepherd Terrace Retirement Residence - 3rd Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,Coronavirus,2022-11-28,2023-01-03,Inactive,-79.29459460107817,43.782512999999994
2502,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2022-11-27,2022-12-15,Inactive,-79.3758609,43.807618
2503,Jewish Home for the Aged - North York - 6RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-11-27,2022-12-08,Inactive,-79.4361036,43.7292745
2504,Unity Health Toronto - Providence - A3,3276 St. Clair Avenue East,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-27,2022-12-06,Inactive,-79.2861565,43.7135926
2505,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-26,2022-12-22,Inactive,-79.4059789,43.6537982
2506,Wesburn Manor - Etobicoke - 2nd Fl,400 The West Mall,LTCH,Respiratory,Coronavirus,2022-11-26,2022-12-05,Inactive,-79.567569,43.643719
2507,Weston Gardens Retirement Residence - 4th Fl,303 Queens Dr,Retirement Home,Respiratory,Influenza A,2022-11-26,2022-12-02,Inactive,-79.502215,43.70758
2508,Advent Forestview Retirement Residence - 2nd Fl,537 Finch Avenue,Retirement Home,Respiratory,Coronavirus,2022-11-25,2022-12-05,Inactive,-79.4445616781496,43.770250950000005
2509,Bill McMurray Residence - 2nd Fl,180 Sheridan Ave,Retirement Home,Respiratory,Coronavirus,2022-11-25,2022-12-12,Inactive,-79.43466566025391,43.6515913
2510,Sinai Health System - Hennick Bridgepoint - 7N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-25,2022-12-13,Inactive,-79.3554469,43.6658608
2511,"Villa Colombo - 4 Fusco West, 4 Fusco North, 4 Fusco South & 4 Fidani",40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-11-25,2022-12-20,Inactive,-79.45668174072816,43.71094909999999
2512,Baycrest Hospital - North York - H5W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-24,2022-12-06,Inactive,-79.4361036,43.7292745
2513,Christie Gardens - Annex & Cedarvale Neighborhood,600 Melita Cres,Retirement Home,Respiratory,Coronavirus,2022-11-24,2022-12-13,Inactive,-79.4229698,43.6725542
2514,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Influenza A,2022-11-24,2022-12-06,Inactive,-79.48187197868482,43.71729432043269
2515,Sinai Health System - Hennick Bridgepoint - 7S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-24,2022-12-13,Inactive,-79.3554469,43.6658608
2516,Terraces of Baycrest - 2nd Fl,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2022-11-24,2022-12-15,Inactive,-79.4410166,43.7294379
2517,"The Heritage Nursing Home - 2nd, 3rd & 4th Fl",1195 Queen St E,LTCH,Respiratory,Influenza A,2022-11-24,2022-12-20,Inactive,-79.3316241,43.66280613333333
2518,Ukrainian Canadian Care Centre - 2nd Fl,60 Richview Rd,LTCH,Respiratory,Influenza A,2022-11-24,2022-12-08,Inactive,-79.5200627,43.6838785
2520,Baycrest Hospital - H7W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-23,2022-12-22,Inactive,-79.4361036,43.7292745
2521,True Davidson Acres - 2nd & 4th Fl,200 Dawes Rd,LTCH,Respiratory,Influenza A,2022-11-23,2023-01-10,Inactive,-79.298175,43.69582
2522,UHN - Toronto Western Hospital - 3B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2022-11-23,2022-12-09,Inactive,-79.4059789,43.6537982
2523,William Osler Health System - 9E - Medical & Palliative Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-23,2022-12-02,Inactive,-79.5991896,43.7306053
2524,Kipling Acres - 3S Thistletown,2233 Kipling Ave,LTCH,Respiratory,Unable to identify,2022-11-22,2022-12-03,Inactive,-79.571631,43.725014
2525,Scarborough Health Network - Centenary - 9W,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-22,2022-12-09,Inactive,-79.204964,43.78009
2526,Belmont House - 2WW & 5WW,55 Belmont St,LTCH,Respiratory,Coronavirus,2022-11-21,2022-12-19,Inactive,-79.39170138466517,43.67449825
2527,Deerwood Creek Care Community - Unit 3A (Memory Unit),70 Humberline Dr,LTCH,Respiratory,Respiratory syncytial virus,2022-11-21,2022-12-09,Inactive,-79.616344,43.731729
2528,The Annex - 2nd Fl,123 Spadina Rd,Retirement Home,Respiratory,Coronavirus,2022-11-21,2022-11-30,Inactive,-79.405505,43.67175
2529,Baycrest Hospital - North York - 7E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-20,2022-12-01,Inactive,-79.4361036,43.7292745
2530,Bill McMurray Residence - 7th Fl,180 Sheridan Ave,Retirement Home,Respiratory,Influenza A,2022-11-20,2022-12-09,Inactive,-79.43466566025391,43.6515913
2531,Jewish Home for the Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-11-20,2022-11-30,Inactive,-79.4361036,43.7292745
2532,Lakeside Long Term Care Centre - 2nd & 4th Fl,150 Dunn Ave,LTCH,Respiratory,Influenza A,2022-11-20,2022-12-05,Inactive,-79.4326664,43.6356584
2533,Runnymede Healthcare Centre - 2 West,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-20,2022-12-11,Inactive,-79.481008,43.664497
2534,The Salvation Army - Toronto Grace Health Ctr - Specialized Care Ctr - 5th Fl,1020 McNicoll Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-20,2022-11-30,Inactive,-79.3361316,43.8042581
2535,Unity Health Toronto - Providence - A4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-20,2022-11-30,Inactive,-79.2861565,43.7135926
2536,Unity Health Toronto - Houses of Providence - HOP2E - SPRUCE,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-11-19,2022-11-29,Inactive,-79.2861565,43.7135926
2537,Belmont House - 2E & 2WW,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,2022-11-18,2022-12-28,Inactive,-79.39170138466517,43.67449825
2538,Better Living At Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A,2022-11-18,2022-12-07,Inactive,-79.347342,43.732464
2539,Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Coronavirus,2022-11-18,2022-12-22,Inactive,-79.347342,43.732464
2540,"Kingsway - 2nd, 3rd & 4th Fl",4251 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-11-18,2022-12-13,Inactive,-79.513986,43.6591255
2541,Tendercare Living Centre - 3 East,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-11-18,2022-12-03,Inactive,-79.3361316,43.8042581
2542,West Park Healthcare Centre - 3WD,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-18,2022-11-28,Inactive,-79.5098225,43.687805
2543,William Osler Health System - Etobicoke - 6W Medicine Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-18,2022-12-03,Inactive,-79.5991896,43.7306053
2544,Norfinch Care Community - Unit 3A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,2022-11-17,2022-11-28,Inactive,-79.52465315351665,43.75628127207558
2545,Sage Care Retirement Home - POD D - 2nd & 3rd Fl,147 Elder Street,Retirement Home,Respiratory,Coronavirus,2022-11-17,2022-12-05,Inactive,-79.454186,43.7626531
2546,The Wexford - 3rd Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2022-11-17,2022-11-26,Inactive,-79.3024148,43.7438388
2547,Toronto East Health Network - Michael Garron Hospital - Withdrawal Management Services,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A,2022-11-17,2022-11-24,Inactive,-79.3236782,43.6896572
2548,Bendale Acres - 5th & 6th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-11-16,2022-12-14,Inactive,-79.2516534,43.7543919
2549,Harmony Hills Care Community - 2nd Fl & 3B,1800 O'Connor Dr,LTCH,Respiratory,Respiratory syncytial virus,2022-11-16,2022-12-16,Inactive,-79.30522822012195,43.7204409
2550,Harmony Hills Care Community - 2nd Fl & 3B,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2022-11-16,2022-12-14,Inactive,-79.30522822012195,43.7204409
2551,Kipling Acres - Alders 3S,2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2022-11-16,2022-12-27,Inactive,-79.571631,43.725014
2552,"The Dunfield Retirement Residence - 9th, 10th & 14th Fl",77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2022-11-16,2022-12-12,Inactive,-79.3950841875,43.7066295625
2553,West Park Healthcare Centre - 3EC,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-16,2022-12-07,Inactive,-79.5098225,43.687805
2554,Harold And Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Rhinovirus,2022-11-15,2022-12-08,Inactive,-79.4688897,43.6987718
2555,Retirement Suites by the Lake - 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2022-11-15,2022-11-28,Inactive,-79.2561528,43.6979544
2556,West Park Long Term Care Centre - Humber York Unit,82 Buttonwood Ave,LTCH,Respiratory,Influenza A,2022-11-15,2022-11-26,Inactive,-79.5098225,43.687805
2557,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-11-14,2022-11-28,Inactive,-79.567866,43.648303
2558,"Downsview Long Term Care Centre - 1 Centre, 2 Centre & 1 East, 2 East",3595 Keele St,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-11-14,2022-12-12,Inactive,-79.48781545714286,43.751348042857146
2559,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,LTCH,Respiratory,Influenza A,2022-11-14,2022-11-21,Inactive,-79.530938,43.644155
2560,North York General Hospital - General Site - 3N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-14,2022-11-28,Inactive,-79.362213,43.7699003
2561,West Park Long Term Care Centre - Glenwyld House,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2022-11-14,2022-11-20,Inactive,-79.5098225,43.687805
2562,"Kensington Gardens North - North Building, 2 West",45 Brunswick Ave,LTCH,Respiratory,Influenza A,2022-11-13,2022-11-23,Inactive,-79.404305,43.658784
2563,Scarborough Health Network - Birchmount - G4C Medicine,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-13,2022-12-05,Inactive,-79.309054,43.801891
2564,The Wexford - 3rd & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-11-13,2022-12-13,Inactive,-79.3024148,43.7438388
2565,Unity Health Toronto - Houses of Providence - 3W,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-11-12,2022-12-01,Inactive,-79.2861565,43.7135926
2566,Unity Health Toronto - St. Joseph's - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-12,2022-11-19,Inactive,-79.450101,43.639359
2567,West Park Healthcare Centre - 3EB - Amputee Unit,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-12,2022-11-24,Inactive,-79.5098225,43.687805
2568,Baycrest Hospital - North York - H4E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-11,2022-11-25,Inactive,-79.4361036,43.7292745
2569,Baycrest Hospital - North York - H6W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-11,2022-11-24,Inactive,-79.4361036,43.7292745
2570,Castleview Wychwood Towers - Unit 2C,351 Christie St,LTCH,Respiratory,Coronavirus,2022-11-11,2022-11-25,Inactive,-79.42113793274277,43.673349
2571,"Downsview Long Term Care Centre - 1 East, 2 Centre & 2 North",3595 Keele St,LTCH,Respiratory,Coronavirus,2022-11-11,2022-12-28,Inactive,-79.48781545714286,43.751348042857146
2572,Unity Health Toronto - St. Joseph's - 7M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-11,2022-11-17,Inactive,-79.450101,43.639359
2573,Unity Health Toronto - St. Michael's - Unit 8CS,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-11,2022-11-21,Inactive,-79.3784327,43.6542289
2574,William Osler Health System - 6W Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2022-11-11,2022-11-24,Inactive,-79.5991896,43.7306053
2575,"Eatonville Care Centre - 2nd, 3rd, 4th & 5th Fl",420 The East Mall,LTCH,Respiratory,Coronavirus,2022-11-10,2022-12-09,Inactive,-79.560686,43.64745
2576,Unity Health Toronto - St. Michael's - 16CN,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-10,2022-11-18,Inactive,-79.3784327,43.6542289
2577,"Leaside Retirement Residence - Building 10, 2nd Fl",14 William Morgan Dr,Retirement Home,Respiratory,Metapneumovirus,2022-11-09,2022-11-14,Inactive,-79.341468,43.709324
2578,The Villiage of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A,2022-11-09,2022-11-23,Inactive,-79.527245,43.6972121
2579,Downsview Long Term Care Centre - Unit 2 North,3595 Keele St,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-11-08,2022-11-14,Inactive,-79.48781545714286,43.751348042857146
2580,"Eatonville Care Centre - 2nd, 3rd, 4th & 5th Fl",420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2022-11-08,2022-12-15,Inactive,-79.560686,43.64745
2581,Holland Bloorview Kids Rehabilitation Hospital - 3 West SODR,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza A,2022-11-08,2022-11-28,Inactive,-79.37434881971065,43.7182666
2582,Kensington Place Retirement Residence - 2nd Fl,866 Sheppard Avenue,Retirement Home,Respiratory,Coronavirus,2022-11-08,2022-11-21,Inactive,-79.1089196,43.8241454
2583,UHN - Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2022-11-08,2022-12-16,Inactive,-79.390408,43.65813
2584,West Park Healthcare Centre - 2EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2022-11-08,2022-11-14,Inactive,-79.5098225,43.687805
2585,Centre for Addiction and Mental Health - Queen Street Site - PRT5,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-11-07,2022-11-21,Inactive,-79.4186199,43.6438339
2586,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2022-11-07,2022-11-26,Inactive,-79.238633,43.73837
2587,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Unable to identify,2022-11-07,2022-11-21,Inactive,-79.3316241,43.66280613333333
2588,Parkland On Eglinton West - 3rd Fl West Tower,4650 Eglinton Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2022-11-06,2022-11-17,Inactive,-79.54756,43.678424
2589,Parkland on Eglinton West - 3rd Fl West Tower,4650 Eglinton Avenue West,Retirement Home,Respiratory,Coronavirus,2022-11-06,2022-11-17,Inactive,-79.54756,43.678424
2590,Scarborough Health Network-Scarborough General - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-05,2022-11-24,Inactive,-79.246316,43.7566259
2591,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-05,2022-11-20,Inactive,-79.450101,43.639359
2592,Bayshore - 5th Fl,221 Milner Ave,Transitional Care,Respiratory,Coronavirus,2022-11-04,2022-12-07,Inactive,-79.240031,43.7887289
2593,McNicoll Manor/Moll Berczy Haus - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus,2022-11-04,2022-11-15,Inactive,-79.3361316,43.8042581
2594,"Nisbet Lodge - 4th, 5th, 7th, 9th & 10th Fl",740 Pape Ave,LTCH,Respiratory,Coronavirus,2022-11-04,2023-01-16,Inactive,-79.3456271,43.6804485
2595,Salvation Army Toronto Grace Health Centre - 5A,650 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-04,2022-11-21,Inactive,-79.383202,43.670326
2596,North York General Hospital - General Site - 5W,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-03,2022-11-20,Inactive,-79.362213,43.7699003
2597,Amica On the Avenue - Dining & Activities Rm,1066 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-11-02,2022-11-22,Inactive,-79.410136,43.705781
2598,Scarborough Health Network - Birchmount - G4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-02,2022-12-22,Inactive,-79.309054,43.801891
2599,Chartwell Westbury Long Term Care Residence - 5th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-11-01,2022-11-14,Inactive,-79.567866,43.648303
2600,Extendicare Guildwood - West Wing Spur 2,60 Guildwood Pky,LTCH,Respiratory,Coronavirus,2022-11-01,2022-12-01,Inactive,-79.203089,43.7462823
2601,Sunnybrook Health Sciences Centre - Bayview Campus - D5,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-01,2022-11-12,Inactive,-79.3792695,43.7235801
2602,Sunnybrook Health Sciences Centre - Bayview Campus - Oncology - D6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-01,2022-11-13,Inactive,-79.3792695,43.7235801
2603,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2022-11-01,2022-11-08,Inactive,-79.5098225,43.687805
2604,West Park Healthcare Centre - 3WF,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-01,2022-11-15,Inactive,-79.5098225,43.687805
2605,Forest Hill Place - Dining Area,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2022-10-31,2022-11-29,Inactive,-79.4247813,43.7065006
2606,Harmony Hills Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Influenza A,2022-10-31,2022-11-08,Inactive,-79.30522822012195,43.7204409
2607,Holland Bloorview Kids Rehabilitation Hospital - 3 East,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Rhinovirus,2022-10-31,2022-11-13,Inactive,-79.37434881971065,43.7182666
2608,McCowan Retirement Residence - 1st Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,Coronavirus,2022-10-31,2022-11-18,Inactive,-79.24023145999999,43.7382847
2609,RCC - Humber River Hospital - Finch Site - 5 East,2111 Finch Avenue West,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-31,2022-11-12,Inactive,-79.5260221,43.7536378
2610,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Coronavirus,2022-10-31,2022-11-16,Inactive,-79.240031,43.7887289
2611,Unity Health Toronto - St. Michael's - 14CG - Locked Unit,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-31,2022-11-09,Inactive,-79.3784327,43.6542289
2612,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Coronavirus,2022-10-30,2022-11-17,Inactive,-79.5826865,43.6537573
2613,Fudger House - 3E,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2022-10-30,2022-11-12,Inactive,-79.373735,43.666208
2614,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl North,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-10-30,2022-11-15,Inactive,-79.2994857,43.8128599
2615,The Heritage Nursing Home - 4th Fl,1195 Queen St E,LTCH,Respiratory,Unable to identify,2022-10-30,2022-11-08,Inactive,-79.3316241,43.66280613333333
2616,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-30,2022-11-17,Inactive,-79.450101,43.639359
2617,Bradgate Arms - 2nd & 6th Fl,54 Foxbar Rd,Retirement Home,Respiratory,Coronavirus,2022-10-28,2022-11-12,Inactive,-79.40082,43.6866
2618,Nisbet Lodge - 10th Fl,740 Pape Ave,LTCH,Respiratory,Rhinovirus,2022-10-28,2022-11-16,Inactive,-79.3456271,43.6804485
2619,Scarborough Health Network - Birchmount - 3D,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-28,2022-11-09,Inactive,-79.309054,43.801891
2620,Unity Health Toronto - Providence - A5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-28,2022-11-06,Inactive,-79.2861565,43.7135926
2621,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-28,2022-11-05,Inactive,-79.2861565,43.7135926
2622,Centre For Addiction and Mental Health - Queen Street Site - Unit 1-2,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-10-27,2022-11-15,Inactive,-79.4186199,43.6438339
2623,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-10-27,2022-11-27,Inactive,-79.1980788,43.7451732
2624,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-14,Inactive,-79.450101,43.639359
2625,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-10,Inactive,-79.450101,43.639359
2626,University Health Network - Toronto General - 6MA,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-11,Inactive,-79.3869528,43.6583672
