,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
2804,Michael Garron Hospital - Toronto - B3,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-07,Inactive
2805,Scarborough Health Network - Centenary - YC3W - Rehab Unit,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-10,Inactive
2806,University Health Network - Bickle Centre - N3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-30,2022-09-23,Inactive
2807,University Health Network - Toronto General - 5MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-09,Inactive
2808,Chartwell Scarlett Heights Retirement Residence - 3rd & 4th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-08-29,2022-09-12,Inactive
2809,The Kensington Gardens (North) - 3W North Building,45 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-08-29,2022-09-12,Inactive
2810,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-08-29,2022-09-09,Inactive
2811,Unity Health Toronto - St. Michael's - 9CG,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-28,2022-09-06,Inactive
2812,Castleview Wychwood Towers - Main & 6th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2022-08-26,2022-09-09,Inactive
2813,RCC - Southlake Regional Health Centre - Church Site - 3rd Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-26,2022-09-09,Inactive
2814,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-08-25,2022-09-06,Inactive
2815,"Hawthorne Place Care Centre - 1st, 2nd & 3rd Fl",2045 Finch Ave W,LTCH,Respiratory,Coronavirus,2022-08-25,2022-09-28,Inactive
2816,The Teddington - 3rd Fl,4 Teddington Park Avenue,Retirement Home,Respiratory,Coronavirus,2022-08-25,2022-09-06,Inactive
2817,Chartwell Scarlett Heights - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Rhinovirus,2022-08-24,2022-08-31,Inactive
2818,Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Coronavirus,2022-08-24,2022-09-07,Inactive
2819,Norfinch Care Community - Unit 1A & 3A,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2022-08-24,2022-09-13,Inactive
2820,Scarborough Health Network - Scarborough General - 4C - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-24,2022-09-09,Inactive
2821,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-24,2022-09-04,Inactive
2822,West Park Healthcare Centre - 2EC (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-24,2022-09-21,Inactive
2823,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2022-08-23,2022-09-14,Inactive
2824,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,2022-08-22,2022-09-07,Inactive
2825,St. Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,2022-08-22,2022-08-31,Inactive
2826,The Westbury - 5th Fl,495 The West Mall,LTCH,Respiratory,Parainfluenza,2022-08-22,2022-08-30,Inactive
2827,Chartwell White Eagle Long Term Care Residence - 2nd & 4th Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus,2022-08-21,2022-09-13,Inactive
2828,Donway Place,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-08-21,2022-09-12,Inactive
2829,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South & 4th Fl North,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-08-21,2022-09-16,Inactive
2830,Fountain View Care Community - 1A Terrace,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2022-08-19,2022-09-16,Inactive
2831,Humber River Hospital - Wilson Site - 12 East,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-19,2022-09-03,Inactive
2832,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Coronavirus,2022-08-19,2022-09-17,Inactive
2833,Runnymede Healthcare Centre - 4 West,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-18,2022-08-30,Inactive
2834,Scarborough Health Network-Scarborough General - T7-Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-18,2022-09-06,Inactive
2835,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Avenue East,LTCH,Respiratory,Coronavirus,2022-08-18,2022-09-06,Inactive
2836,"New Horizons Tower - 2nd, 3rd, 6th, 7th, 8th, 11th, 12th, 14th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-08-17,2022-09-28,Inactive
2837,Sunnybrook Health Sciences Centre - Bayview Campus - D2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-17,2022-08-30,Inactive
2838,The Claremont,305 Balliol St,Retirement Home,Respiratory,Coronavirus,2022-08-17,2022-09-02,Inactive
2839,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-16,2022-09-09,Inactive
2840,McCowan Retirement Residence - 2nd Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,Coronavirus,2022-08-15,2022-08-29,Inactive
2841,North York General Hospital - General Site - 3N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-15,2022-08-26,Inactive
2842,RCC - Trillium Health Partners - Church Site - 1C,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-15,2022-08-30,Inactive
2843,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-15,2022-08-30,Inactive
2844,University Health Network - Toronto General - 9ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-15,2022-08-27,Inactive
2845,Scarborough Health Network - Centenary - 9E,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-14,2022-08-25,Inactive
2846,West Park Healthcare Centre - 3EC,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-14,2022-08-29,Inactive
2847,Chartwell Scarlett Heights Retirement Residence - 5th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-08-12,2022-08-22,Inactive
2848,Kingsway - 2nd Fl,4251 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-08-12,2022-08-22,Inactive
2849,University Health Network - University Centre - 7S,550 University Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-12,2022-08-24,Inactive
2850,Alexis Lodge Retirement Residence - Bldg 707,705 - 707 Ellesmere Road,Retirement Home,Respiratory,Coronavirus,2022-08-11,2022-08-27,Inactive
2851,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Enteric,Unable to identify,2022-08-11,2022-08-17,Inactive
2852,Scarborough Health Network-Scarborough General - 4E-Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-11,2022-08-24,Inactive
2853,Unity Health Toronto - Providence - A4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-11,2022-08-19,Inactive
2854,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-11,2022-08-28,Inactive
2855,Chartwell Guildwood Retirement Residence - 1st & 5th Fl,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-08-10,2022-08-26,Inactive
2856,"Chartwell Westbury Long Term Care Residence - 2nd, 6th, 7th & 8th Fl",495 The West Mall,LTCH,Respiratory,Coronavirus,2022-08-10,2022-09-21,Inactive
2857,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-10,2022-08-26,Inactive
2858,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-10,2022-08-25,Inactive
2859,True Davidson Acres,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2022-08-10,2022-09-02,Inactive
2860,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl West (Transitional Care Unit),500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-09,2022-08-30,Inactive
2861,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-08-09,2022-09-03,Inactive
2862,Forest Hill Place - 4th Fl & Reception,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-08-30,Inactive
2863,Harmony Hills Care Community - 3A & 3B,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2022-08-08,2022-09-12,Inactive
2864,Isabel and Arthur Meighen Manor - 4th Fl,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,2022-08-08,2022-08-31,Inactive
2865,Presentation Manor For Seniors - 4th Fl (MC),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-09-07,Inactive
2866,"Scarborough Retirement Residence - 2nd, 3rd, 4th, 5th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-09-06,Inactive
2867,Sinai Health System - Mount Sinai - 14N/SSDU,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-08,2022-08-18,Inactive
2868,Unity Health Toronto - Houses of Providence - HOP 4E,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-08-08,2022-09-08,Inactive
2869,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Coronavirus,2022-08-07,2022-08-30,Inactive
2870,The Village of Humber Heights - Emma Neighbourhood (2nd Fl),2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-08-07,2022-08-29,Inactive
2871,Unity Health Toronto - St. Michael's - 14CC,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-06,2022-08-15,Inactive
2872,Centre for Addiction and Mental Health - Queen Street Site - ER,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-08-05,2022-08-15,Inactive
2873,Sinai Health System - Mount Sinai - 10S,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-05,2022-08-16,Inactive
2874,University Health Network - Toronto General - 6MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-04,2022-08-14,Inactive
2875,West Park Healthcare Centre - 3WD,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-04,2022-08-14,Inactive
2876,"Yee Hong Centre - Scarborough McNicoll - 3rd, 4th & 5th Fl",2311 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-08-04,2022-08-31,Inactive
2877,Deerwood Creek Care Community - 1st Fl Unit,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2022-08-03,2022-08-22,Inactive
2878,"Kennedy Lodge - Scarborough - 2 South, 2 North & 3 North",1400 Kennedy Rd,LTCH,Respiratory,Coronavirus,2022-08-03,2022-09-04,Inactive
2879,Amica On the Avenue - 3rd Fl,1066 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-08-02,2022-08-15,Inactive
2880,Copernicus Lodge - 3 South,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2022-08-02,2022-08-13,Inactive
2881,New Horizons Tower - 2nd Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-08-02,2022-08-10,Inactive
2882,Chester Village - 2E,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2022-08-01,2022-08-22,Inactive
2883,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-01,2022-08-19,Inactive
2884,Unity Health Toronto - Providence - A5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-01,2022-08-11,Inactive
2885,University Health Network - Bickle Centre - S3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-01,2022-09-02,Inactive
2886,Michael Garron Hospital - B3 Medicine,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-31,2022-08-06,Inactive
2887,Fountain View Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2022-07-30,2022-08-15,Inactive
2888,Extendicare Rouge Valley - Cedar Ridge & Morrish House,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2022-07-29,2022-08-26,Inactive
2889,Maynard Nursing Home - 2nd Fl (Trinity),28 Halton St,LTCH,Respiratory,Coronavirus,2022-07-29,2022-08-15,Inactive
2890,Scarborough Health Network - Birchmount - G3D - Medicine,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-29,2022-08-15,Inactive
2891,St. Hilda's Towers - 14th Fl,2339 Dufferin St,Retirement Home,Respiratory,Coronavirus,2022-07-29,2022-08-09,Inactive
2892,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Coronavirus,2022-07-29,2022-08-15,Inactive
2893,Carefirst Transitional Care Centre,300 Silver Star Boulevard,LTCH,Respiratory,Coronavirus,2022-07-28,2022-08-13,Inactive
2894,Extendicare Guildwood - West Wing Spur 2,60 Guildwood Pky,LTCH,Respiratory,Coronavirus,2022-07-28,2022-08-15,Inactive
2895,West Park Healthcare Centre - 2EA,82 Buttonwood Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-28,2022-08-11,Inactive
2896,Baycrest Hospital - H7W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-27,2022-08-01,Inactive
2897,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-27,2022-08-06,Inactive
2898,Cedarvale Terrace,429 Walmer Road,LTCH,Respiratory,Coronavirus,2022-07-27,2022-08-19,Inactive
2899,"Ukrainian Canadian Care Centre - 2nd, 3rd & 4th Fl",60 Richview Road,LTCH,Respiratory,Coronavirus,2022-07-27,2022-09-17,Inactive
2900,Kipling Acres - 3N,2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2022-07-26,2022-08-26,Inactive
2901,North York General Hospital - General Site - 5W,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-26,2022-08-06,Inactive
2902,Unity Health Toronto - Houses of Providence - HOP 2E,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-07-26,2022-08-07,Inactive
2903,"Altamont Care Community - Wing 1, Wing 2 & Wing 3",92 Island Rd,LTCH,Respiratory,Coronavirus,2022-07-25,2022-08-19,Inactive
2904,Baycrest Hospital - North York - 7 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-25,2022-08-05,Inactive
2905,Hellenic Home - Scarborough - 2B,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-07-25,2022-08-09,Inactive
2906,RCC - Sunnybrook Health Sciences Centre - Church Site - A3N,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-25,2022-08-07,Inactive
2907,"Retirement Suites by the Lake - 1st, 2nd & 3rd Fl",2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2022-07-25,2022-08-15,Inactive
2908,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-25,2022-08-16,Inactive
2909,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-25,2022-08-09,Inactive
2910,Sinai Health System - Hennick Bridgepoint - 7N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-24,2022-08-09,Inactive
2911,"Tapestry at Village Gate West - 2nd, 6th & 9th Fl",15 Summerland Terr,Retirement Home,Respiratory,Coronavirus,2022-07-23,2022-08-12,Inactive
2912,Belmont House - 2WW & 4WW,55 Belmont St,LTCH,Respiratory,Coronavirus,2022-07-22,2022-08-19,Inactive
2913,North York General Hospital - General Site - 5N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-22,2022-08-01,Inactive
2914,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-22,2022-08-06,Inactive
2915,Scarborough Health Network - Centenary - 9E-Med,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-22,2022-08-05,Inactive
2916,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2022-07-22,2022-09-21,Inactive
2917,William Osler Health System - Etobicoke - 8th Level Surgery,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-22,2022-07-31,Inactive
2918,Parkland On Eglinton West - 6th Fl West Tower,4650 Eglinton Avenue West,Retirement Home,Respiratory,Coronavirus,2022-07-21,2022-08-15,Inactive
2919,Unity Health Toronto - Houses of Providence - HOP 3 East,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-07-21,2022-08-03,Inactive
2920,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-21,2022-08-03,Inactive
2921,University Health Network - Toronto General - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-21,2022-08-02,Inactive
2922,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-07-21,2022-08-15,Inactive
2923,"Chartwell Grenadier Retirement Residence - Toronto - A3, A4, B3 & B4",2100 Bloor Street W,Retirement Home,Respiratory,Coronavirus,2022-07-20,2022-09-06,Inactive
2924,Michael Garron Hospital - B2,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-20,2022-07-29,Inactive
2925,Scarborough Health Network - Centenary - 5W (Surgery),2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-20,2022-08-06,Inactive
2926,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-20,2022-07-31,Inactive
2927,Suomi Koti Nursing Home - 7th Fl,795 Eglinton Avenue E,LTCH,Enteric,Norovirus-like,2022-07-20,2022-08-05,Inactive
2928,The Village of Humber Heights - Emma Neighbourhood,2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-07-20,2022-07-31,Inactive
2929,University Health Network - Toronto General - Hemodialysis,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-20,2022-08-02,Inactive
2930,Fieldstone Commons Care Community - 2B,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2022-07-19,2022-08-09,Inactive
2931,One Kenton Place - 4th Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2022-07-19,2022-08-16,Inactive
2932,Seniors' Health Centre - 2nd Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2022-07-19,2022-08-10,Inactive
2933,Sunnybrook Health Sciences Centre - RTBC,2075 Bayview Ave,Hospital-Acute Care,Other,CPE,2022-07-19,2022-09-14,Inactive
2934,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-19,2022-07-31,Inactive
2935,Terraces of Baycrest - 4th Fl,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2022-07-19,2022-08-08,Inactive
2936,The Village of Humber Heights - Wadsworth & Weston Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-07-19,2022-08-15,Inactive
2937,University Health Network - Bickle Centre - North 3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-19,2022-08-01,Inactive
2938,Wellesley Central Place - 3 East,160 Wellesley St E,LTCH,Respiratory,Coronavirus,2022-07-19,2022-07-29,Inactive
2939,Centre for Addiction and Mental Health - Queen Street Site - GAU-B,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-07-18,2022-08-04,Inactive
2940,Greenview Lodge - 2nd & 3rd Fl,880 Lawrence Avenue,Retirement Home,Respiratory,Coronavirus,2022-07-18,2022-08-17,Inactive
2941,"Hazelton Place Retirement Residence - 3rd, 4th, & 5th Fl",111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-07-18,2022-08-02,Inactive
2942,Lakeside Long Term Care Centre - 2nd & 4th Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2022-07-18,2022-09-26,Inactive
2943,Sherbourne Place - 2nd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,Coronavirus,2022-07-18,2022-08-25,Inactive
2944,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-07-18,2022-08-17,Inactive
2945,Unity Health Toronto - St. Michael's - 8CS,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-07-18,2022-07-26,Inactive
2946,Copernicus Lodge - 1 South,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2022-07-17,2022-07-28,Inactive
2947,Humber Valley Terrace - 1st Fl,95 Humber College Blvd,LTCH,Respiratory,Coronavirus,2022-07-17,2022-07-28,Inactive
2948,Unity Health Toronto - Houses of Providence - HOP-1 East,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-07-17,2022-07-31,Inactive
2949,Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-07-16,2022-08-02,Inactive
2950,Downsview Long Term Care Centre - Unit 2 Centre,3595 Keele St,LTCH,Respiratory,Coronavirus,2022-07-16,2022-08-15,Inactive
