,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
2614,William Osler Health System - Etobicoke - 9E,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-04,Inactive,-79.5991896,43.7306053,2022,September,Fall
2615,Sinai Health System - Hennick Bridgepoint - 7S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-21,2022-10-01,Inactive,-79.3554469,43.6658608,2022,September,Fall
2616,"Chartwell Scarlett Heights Retirement Residence - Dining Rm, 2nd, 7th & 8th Fl",4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-09-20,2022-11-07,Inactive,-79.5125369,43.6836338,2022,September,Fall
2617,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-09-20,2022-09-28,Inactive,-79.56570787160844,43.62911145,2022,September,Fall
2618,"The Kensington Gardens - 1E, 2E, 3W & Admin",25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-09-20,2022-10-27,Inactive,-79.40368867487679,43.6581346,2022,September,Fall
2619,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-19,2022-09-29,Inactive,-79.481008,43.664497,2022,September,Fall
2620,West Park Healthcare Centre - 3EA (MSK Rehab),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-19,2022-10-02,Inactive,-79.5098225,43.687805,2022,September,Fall
2621,Delmanor Wynford - 5th & 6th Fl,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2022-09-18,2022-10-07,Inactive,-79.326262,43.724681,2022,September,Fall
2622,Sunnybrook Health Sciences Centre - Bayview Campus - C2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-18,2022-10-02,Inactive,-79.3792695,43.7235801,2022,September,Fall
2623,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-18,2022-10-03,Inactive,-79.40424676206896,43.789755968965515,2022,September,Fall
2624,Cedarvale Terrace - 4th Fl,429 Walmer Road,LTCH,Respiratory,Coronavirus,2022-09-17,2022-10-12,Inactive,-79.412483,43.685423,2022,September,Fall
2625,McNicoll Manor/Moll Berczy Haus - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus,2022-09-17,2022-10-04,Inactive,-79.3361316,43.8042581,2022,September,Fall
2626,RCC-Oak Valley Health- Markham Stouffville Hospital - Finch Site - 5W,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-17,2022-10-08,Inactive,-79.5260221,43.7536378,2022,September,Fall
2627,Bendale Acres - 4th Fl East,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-09-16,2022-10-24,Inactive,-79.2516534,43.7543919,2022,September,Fall
2628,Copernicus Lodge - 4 North & 5 South,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2022-09-16,2022-11-14,Inactive,-79.447337,43.640435,2022,September,Fall
2629,Midland Gardens Care Community - Basement - Board Rm,130 Midland Ave,LTCH,Respiratory,Coronavirus,2022-09-14,2022-09-23,Inactive,-79.2469846,43.7077593,2022,September,Fall
2630,Scarborough Health Network - Centenary - Hemodialysis,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-14,2022-09-28,Inactive,-79.204964,43.78009,2022,September,Fall
2631,The Kensington Gardens (North) - Administration Office & 2 East,45 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-09-14,2022-10-14,Inactive,-79.404305,43.658784,2022,September,Fall
2632,Trillium Health Partners-McCall Continuing Care - Chronic/Rehab - 4th Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-13,2022-09-29,Inactive,-79.562235,43.610033,2022,September,Fall
2633,Altamont Care Community - Wing 1,92 Island Rd,LTCH,Respiratory,Coronavirus,2022-09-12,2022-09-22,Inactive,-79.13997840570175,43.7988385,2022,September,Fall
2634,University Health Network - Toronto General - ES 14,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-12,2022-09-27,Inactive,-79.3869528,43.6583672,2022,September,Fall
2635,Salvation Army Toronto Grace Health Centre - PACR - Rehab,650 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-11,2022-09-17,Inactive,-79.383202,43.670326,2022,September,Fall
2636,Nisbet Lodge - 6th & 7th Fl,740 Pape Ave,LTCH,Respiratory,Coronavirus,2022-09-10,2022-10-03,Inactive,-79.3456271,43.6804485,2022,September,Fall
2637,Unity Health Toronto - St. Joseph's - 4LM - Medicine,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-10,2022-09-20,Inactive,-79.450101,43.639359,2022,September,Fall
2638,Cedarbrook Lodge Retirement Residence - 3rd & 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-09-09,2022-10-03,Inactive,-79.2241579,43.7554562,2022,September,Fall
2639,Scarborough Health Network - Birchmount - G4A,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-09,2022-09-22,Inactive,-79.309054,43.801891,2022,September,Fall
2640,Bethseda Home,4 Partridge Lane,Retirement Home,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive,-79.29930350000001,43.798816537499995,2022,September,Fall
2641,L'Chaim Retirement Homes Inc. - 2nd & 3rd Fl,718 Sheppard Avenue,Retirement Home,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive,-79.11599651444558,43.82247501218295,2022,September,Fall
2642,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive,-79.4186528,43.6647391,2022,September,Fall
2643,Yee Hong Centre - Scarborough Finch - 3rd Fl (North) & 6th Fl (South & North),60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2022-09-08,2022-12-12,Inactive,-79.25453972658863,43.8086905,2022,September,Fall
2644,Fieldstone Commons Care Community- 4B,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2022-09-07,2022-09-28,Inactive,-79.277814,43.766995,2022,September,Fall
2645,Trillium Health Partners-McCall Continuing Care - Chronic/Rehab - 2nd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-07,2022-09-29,Inactive,-79.562235,43.610033,2022,September,Fall
2646,University Health Network - Toronto General - ES 13,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-07,2022-09-18,Inactive,-79.3869528,43.6583672,2022,September,Fall
2647,West Park Long Term Care Centre - 2nd Fl - Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Influenza A,2022-09-07,2022-09-20,Inactive,-79.5098225,43.687805,2022,September,Fall
2648,Weston Terrace Care Community - Unit 2B & 3B,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-09-07,2022-10-11,Inactive,-79.51072231818182,43.70133497272727,2022,September,Fall
2649,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-06,2022-10-04,Inactive,-79.3792695,43.7235801,2022,September,Fall
2650,Tapestry at Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus,2022-09-06,2022-09-20,Inactive,-79.532273,43.644044,2022,September,Fall
2651,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-09-06,2022-09-17,Inactive,-79.3361316,43.8042581,2022,September,Fall
2652,McCall Centre Long Term Care Interim Unit - Interim Unit,140 Sherway Drive,LTCH,Respiratory,Coronavirus,2022-09-05,2022-09-28,Inactive,-79.562235,43.610033,2022,September,Fall
2653,The Village of Humber Heights - Williamsburg East - GF,2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-09-05,2022-09-16,Inactive,-79.527245,43.6972121,2022,September,Fall
2654,Deerwood Creek Care Community - 2B,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2022-09-04,2022-09-16,Inactive,-79.616344,43.731729,2022,September,Fall
2655,Wesburn Manor - 4th Fl North,400 The West Mall,LTCH,Enteric,Norovirus-like,2022-09-04,2022-09-14,Inactive,-79.567569,43.643719,2022,September,Fall
2656,"Cummer Lodge - 2N, 2S, 4N, 4S & SCU",205 Cummer Ave,LTCH,Respiratory,Coronavirus,2022-09-02,2022-11-06,Inactive,-79.40816758965518,43.78889555517242,2022,September,Fall
2657,Cedarbrook Lodge TCU - Transitional Care Unit - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,Coronavirus,2022-09-01,2022-09-27,Inactive,-79.2241579,43.7554562,2022,September,Fall
2658,Hazelton Place Retirement Residence - 2nd Fl,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-09-01,2022-09-12,Inactive,-79.3957197,43.6732425,2022,September,Fall
2659,Michael Garron Hospital - Toronto - B3,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-07,Inactive,-79.3236782,43.6896572,2022,August,Summer
2660,Scarborough Health Network - Centenary - YC3W - Rehab Unit,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-10,Inactive,-79.204964,43.78009,2022,August,Summer
2661,University Health Network - Bickle Centre - N3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-30,2022-09-23,Inactive,-79.433068,43.634967,2022,August,Summer
2662,University Health Network - Toronto General - 5MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-30,2022-09-09,Inactive,-79.3869528,43.6583672,2022,August,Summer
2663,Chartwell Scarlett Heights Retirement Residence - 3rd & 4th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-08-29,2022-09-12,Inactive,-79.5125369,43.6836338,2022,August,Summer
2664,The Kensington Gardens (North) - 3W North Building,45 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-08-29,2022-09-12,Inactive,-79.404305,43.658784,2022,August,Summer
2665,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-08-29,2022-09-09,Inactive,-79.5667899,43.7373503,2022,August,Summer
2666,Unity Health Toronto - St. Michael's - 9CG,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-28,2022-09-06,Inactive,-79.3784327,43.6542289,2022,August,Summer
2667,Castleview Wychwood Towers - Main & 6th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2022-08-26,2022-09-09,Inactive,-79.42113793274277,43.673349,2022,August,Summer
2668,RCC - Southlake Regional Health Centre - Church Site - 3rd Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-26,2022-09-09,Inactive,-79.510442,43.709345,2022,August,Summer
2669,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-08-25,2022-09-06,Inactive,-79.2241579,43.7554562,2022,August,Summer
2670,"Hawthorne Place Care Centre - 1st, 2nd & 3rd Fl",2045 Finch Ave W,LTCH,Respiratory,Coronavirus,2022-08-25,2022-09-28,Inactive,-79.5222631,43.7562487,2022,August,Summer
2671,The Teddington - 3rd Fl,4 Teddington Park Avenue,Retirement Home,Respiratory,Coronavirus,2022-08-25,2022-09-06,Inactive,-79.4040004,43.733129,2022,August,Summer
2672,Chartwell Scarlett Heights - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Rhinovirus,2022-08-24,2022-08-31,Inactive,-79.5125369,43.6836338,2022,August,Summer
2673,Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Coronavirus,2022-08-24,2022-09-07,Inactive,-79.5994248,43.7307129,2022,August,Summer
2674,Norfinch Care Community - Unit 1A & 3A,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2022-08-24,2022-09-13,Inactive,-79.52465315351665,43.75628127207558,2022,August,Summer
2675,Scarborough Health Network - Scarborough General - 4C - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-24,2022-09-09,Inactive,-79.246316,43.7566259,2022,August,Summer
2676,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-24,2022-09-04,Inactive,-79.450101,43.639359,2022,August,Summer
2677,West Park Healthcare Centre - 2EC (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-24,2022-09-21,Inactive,-79.5098225,43.687805,2022,August,Summer
2678,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2022-08-23,2022-09-14,Inactive,-79.29894248888888,43.681406233333334,2022,August,Summer
2679,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,2022-08-22,2022-09-07,Inactive,-79.530938,43.644155,2022,August,Summer
2680,St. Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,2022-08-22,2022-08-31,Inactive,-79.3117512,43.7055002,2022,August,Summer
2681,The Westbury - 5th Fl,495 The West Mall,LTCH,Respiratory,Parainfluenza,2022-08-22,2022-08-30,Inactive,-79.567866,43.648303,2022,August,Summer
2682,Chartwell White Eagle Long Term Care Residence - 2nd & 4th Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus,2022-08-21,2022-09-13,Inactive,-79.439009,43.637221,2022,August,Summer
2683,Donway Place,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-08-21,2022-09-12,Inactive,-79.340067,43.733914,2022,August,Summer
2684,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South & 4th Fl North,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-08-21,2022-09-16,Inactive,-79.2994857,43.8128599,2022,August,Summer
2685,Fountain View Care Community - 1A Terrace,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2022-08-19,2022-09-16,Inactive,-79.30522822012195,43.7204409,2022,August,Summer
2686,Humber River Hospital - Wilson Site - 12 East,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-19,2022-09-03,Inactive,-79.4894019,43.7227577,2022,August,Summer
2687,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Coronavirus,2022-08-19,2022-09-17,Inactive,-79.42931564668473,43.63752855,2022,August,Summer
2688,Runnymede Healthcare Centre - 4 West,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-18,2022-08-30,Inactive,-79.481008,43.664497,2022,August,Summer
2689,Scarborough Health Network-Scarborough General - T7-Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-18,2022-09-06,Inactive,-79.246316,43.7566259,2022,August,Summer
2690,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Avenue East,LTCH,Respiratory,Coronavirus,2022-08-18,2022-09-06,Inactive,-79.3117512,43.7055002,2022,August,Summer
2691,"New Horizons Tower - 2nd, 3rd, 6th, 7th, 8th, 11th, 12th, 14th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-08-17,2022-09-28,Inactive,-79.43604266376147,43.659954600000006,2022,August,Summer
2692,Sunnybrook Health Sciences Centre - Bayview Campus - D2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-17,2022-08-30,Inactive,-79.3792695,43.7235801,2022,August,Summer
2693,The Claremont,305 Balliol St,Retirement Home,Respiratory,Coronavirus,2022-08-17,2022-09-02,Inactive,-79.386874,43.699176,2022,August,Summer
2694,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-16,2022-09-09,Inactive,-79.3026915478865,43.6778819,2022,August,Summer
2695,McCowan Retirement Residence - 2nd Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,Coronavirus,2022-08-15,2022-08-29,Inactive,-79.24023145999999,43.7382847,2022,August,Summer
2696,North York General Hospital - General Site - 3N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-15,2022-08-26,Inactive,-79.362213,43.7699003,2022,August,Summer
2697,RCC - Trillium Health Partners - Church Site - 1C,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-15,2022-08-30,Inactive,-79.510442,43.709345,2022,August,Summer
2698,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-15,2022-08-30,Inactive,-79.3792695,43.7235801,2022,August,Summer
2699,University Health Network - Toronto General - 9ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-15,2022-08-27,Inactive,-79.3869528,43.6583672,2022,August,Summer
2700,Scarborough Health Network - Centenary - 9E,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-14,2022-08-25,Inactive,-79.204964,43.78009,2022,August,Summer
2701,West Park Healthcare Centre - 3EC,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-14,2022-08-29,Inactive,-79.5098225,43.687805,2022,August,Summer
2702,Chartwell Scarlett Heights Retirement Residence - 5th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-08-12,2022-08-22,Inactive,-79.5125369,43.6836338,2022,August,Summer
2703,Kingsway - 2nd Fl,4251 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-08-12,2022-08-22,Inactive,-79.513986,43.6591255,2022,August,Summer
2704,University Health Network - University Centre - 7S,550 University Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-12,2022-08-24,Inactive,-79.389958,43.65667,2022,August,Summer
2705,Alexis Lodge Retirement Residence - Bldg 707,705 - 707 Ellesmere Road,Retirement Home,Respiratory,Coronavirus,2022-08-11,2022-08-27,Inactive,-79.28863975,43.7637055,2022,August,Summer
2706,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Enteric,Unable to identify,2022-08-11,2022-08-17,Inactive,-79.40816758965518,43.78889555517242,2022,August,Summer
2707,Scarborough Health Network-Scarborough General - 4E-Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-11,2022-08-24,Inactive,-79.246316,43.7566259,2022,August,Summer
2708,Unity Health Toronto - Providence - A4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-11,2022-08-19,Inactive,-79.2861565,43.7135926,2022,August,Summer
2709,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-08-11,2022-08-28,Inactive,-79.450101,43.639359,2022,August,Summer
2710,Chartwell Guildwood Retirement Residence - 1st & 5th Fl,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-08-10,2022-08-26,Inactive,-79.1980788,43.7451732,2022,August,Summer
2711,"Chartwell Westbury Long Term Care Residence - 2nd, 6th, 7th & 8th Fl",495 The West Mall,LTCH,Respiratory,Coronavirus,2022-08-10,2022-09-21,Inactive,-79.567866,43.648303,2022,August,Summer
2712,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-10,2022-08-26,Inactive,-79.3792695,43.7235801,2022,August,Summer
2713,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-08-10,2022-08-25,Inactive,-79.3792695,43.7235801,2022,August,Summer
2714,True Davidson Acres,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2022-08-10,2022-09-02,Inactive,-79.298175,43.69582,2022,August,Summer
2715,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl West (Transitional Care Unit),500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-08-09,2022-08-30,Inactive,-79.3026915478865,43.6778819,2022,August,Summer
2716,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-08-09,2022-09-03,Inactive,-79.56570787160844,43.62911145,2022,August,Summer
2717,Forest Hill Place - 4th Fl & Reception,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-08-30,Inactive,-79.4247813,43.7065006,2022,August,Summer
2718,Harmony Hills Care Community - 3A & 3B,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2022-08-08,2022-09-12,Inactive,-79.30522822012195,43.7204409,2022,August,Summer
2719,Isabel and Arthur Meighen Manor - 4th Fl,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,2022-08-08,2022-08-31,Inactive,-79.39273938941177,43.70006920470588,2022,August,Summer
2720,Presentation Manor For Seniors - 4th Fl (MC),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-09-07,Inactive,-79.2829526,43.7160464,2022,August,Summer
2721,"Scarborough Retirement Residence - 2nd, 3rd, 4th, 5th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2022-08-08,2022-09-06,Inactive,-79.2180677,43.7407432,2022,August,Summer
